iter	Passed	Remaining
0	148	148623
1	152	75967
2	153	51100
3	154	38579
4	157	31383
5	158	26332
6	160	22763
7	166	20590
8	167	18413
9	171	16999
10	172	15537
11	173	14319
12	175	13322
13	177	12474
14	178	11733
15	179	11064
16	180	10451
17	181	9909
18	182	9426
19	183	8987
20	184	8588
21	185	8254
22	186	7921
23	187	7614
24	187	7331
25	188	7075
26	189	6843
27	191	6633
28	192	6439
29	193	6252
30	194	6072
31	195	5903
32	197	5778
33	198	5630
34	199	5487
35	199	5348
36	200	5222
37	201	5103
38	203	5008
39	204	4900
40	204	4794
41	206	4701
42	207	4611
43	208	4527
44	209	4441
45	210	4373
46	212	4303
47	213	4232
48	214	4164
49	215	4098
50	216	4031
51	217	3968
52	218	3906
53	219	3847
54	221	3797
55	222	3746
56	223	3695
57	224	3644
58	225	3594
59	226	3547
60	227	3497
61	228	3452
62	229	3407
63	230	3363
64	231	3324
65	232	3284
66	232	3243
67	233	3199
68	234	3162
69	235	3127
70	236	3092
71	237	3061
72	238	3027
73	239	2995
74	240	2963
75	241	2930
76	242	2901
77	242	2870
78	243	2842
79	244	2816
80	245	2788
81	246	2763
82	247	2737
83	248	2711
84	249	2683
85	250	2659
86	250	2631
87	251	2610
88	252	2587
89	253	2565
90	254	2544
91	255	2524
92	256	2502
93	257	2482
94	258	2461
95	259	2441
96	260	2421
97	260	2402
98	261	2383
99	262	2364
100	263	2345
101	264	2325
102	264	2307
103	265	2291
104	266	2275
105	267	2258
106	268	2241
107	269	2224
108	270	2209
109	271	2193
110	272	2179
111	272	2164
112	273	2148
113	274	2134
114	275	2120
115	276	2104
116	277	2090
117	277	2077
118	278	2062
119	279	2048
120	280	2035
121	281	2023
122	281	2008
123	282	1996
124	283	1984
125	284	1973
126	285	1961
127	285	1948
128	286	1936
129	287	1925
130	288	1913
131	289	1903
132	290	1893
133	291	1881
134	291	1870
135	292	1860
136	293	1851
137	294	1840
138	295	1830
139	296	1820
140	297	1810
141	298	1800
142	298	1791
143	299	1781
144	300	1771
145	301	1762
146	302	1753
147	303	1744
148	303	1736
149	304	1727
150	305	1718
151	306	1708
152	307	1700
153	308	1692
154	309	1685
155	310	1679
156	311	1672
157	312	1664
158	313	1658
159	314	1651
160	315	1644
161	317	1640
162	318	1634
163	319	1627
164	320	1622
165	321	1615
166	323	1612
167	324	1608
168	326	1604
169	327	1598
170	328	1592
171	329	1587
172	330	1580
173	331	1574
174	333	1570
175	334	1564
176	335	1559
177	336	1554
178	337	1547
179	338	1541
180	338	1533
181	339	1527
182	340	1521
183	341	1515
184	342	1509
185	343	1503
186	344	1497
187	345	1491
188	346	1485
189	347	1479
190	347	1473
191	348	1467
192	349	1461
193	350	1456
194	351	1452
195	353	1449
196	354	1443
197	355	1438
198	356	1432
199	356	1427
200	357	1422
201	358	1417
202	359	1411
203	360	1406
204	361	1400
205	362	1395
206	362	1390
207	363	1385
208	364	1381
209	365	1376
210	366	1371
211	367	1366
212	368	1361
213	369	1356
214	370	1351
215	371	1347
216	372	1342
217	372	1337
218	373	1332
219	374	1328
220	375	1323
221	376	1318
222	377	1313
223	378	1309
224	379	1305
225	379	1301
226	380	1296
227	381	1291
228	382	1287
229	383	1282
230	384	1278
231	384	1274
232	385	1270
233	386	1265
234	387	1261
235	388	1257
236	389	1253
237	390	1249
238	391	1245
239	391	1241
240	392	1237
241	393	1233
242	394	1228
243	395	1224
244	396	1221
245	397	1217
246	398	1213
247	398	1209
248	399	1205
249	400	1201
250	401	1197
251	402	1194
252	403	1190
253	404	1186
254	404	1182
255	405	1179
256	406	1175
257	407	1171
258	408	1168
259	409	1164
260	409	1160
261	410	1157
262	411	1153
263	412	1150
264	413	1146
265	414	1143
266	415	1139
267	415	1135
268	416	1132
269	417	1128
270	418	1125
271	419	1122
272	419	1118
273	420	1114
274	421	1111
275	422	1108
276	423	1105
277	424	1102
278	425	1098
279	426	1095
280	426	1092
281	427	1089
282	428	1086
283	429	1083
284	430	1079
285	431	1076
286	431	1073
287	432	1070
288	433	1066
289	434	1064
290	435	1061
291	436	1058
292	437	1055
293	438	1052
294	438	1049
295	439	1046
296	440	1043
297	441	1040
298	442	1037
299	443	1034
300	444	1031
301	445	1028
302	445	1025
303	446	1022
304	447	1020
305	448	1017
306	449	1014
307	450	1012
308	451	1009
309	452	1007
310	453	1004
311	454	1002
312	455	999
313	455	996
314	456	993
315	457	990
316	458	987
317	459	985
318	460	982
319	461	979
320	461	977
321	462	974
322	463	972
323	464	969
324	465	967
325	466	965
326	467	963
327	468	960
328	469	957
329	470	955
330	471	952
331	472	950
332	473	947
333	474	945
334	474	942
335	475	940
336	476	937
337	477	934
338	478	932
339	479	930
340	480	928
341	481	926
342	482	924
343	483	922
344	485	921
345	486	920
346	487	918
347	488	916
348	490	914
349	491	912
350	492	910
351	493	908
352	494	906
353	495	904
354	496	902
355	497	900
356	498	898
357	500	896
358	501	894
359	501	892
360	502	890
361	504	888
362	505	887
363	506	885
364	507	883
365	509	882
366	510	880
367	511	879
368	512	877
369	513	874
370	514	872
371	516	872
372	518	870
373	519	868
374	520	866
375	521	864
376	522	863
377	524	862
378	525	860
379	525	858
380	526	856
381	528	854
382	529	852
383	530	850
384	531	848
385	532	846
386	533	844
387	534	842
388	535	840
389	536	838
390	537	836
391	538	834
392	539	832
393	540	830
394	541	829
395	542	827
396	543	825
397	544	823
398	545	821
399	546	819
400	548	818
401	549	817
402	550	815
403	551	813
404	552	811
405	553	809
406	555	808
407	555	806
408	556	804
409	557	802
410	558	800
411	559	798
412	560	797
413	561	795
414	562	793
415	563	791
416	564	789
417	565	786
418	566	785
419	567	783
420	568	781
421	569	779
422	570	777
423	570	775
424	572	773
425	573	772
426	574	771
427	575	769
428	576	767
429	577	765
430	578	763
431	579	762
432	580	760
433	581	758
434	582	756
435	583	754
436	584	753
437	586	752
438	587	750
439	588	748
440	589	746
441	589	744
442	591	743
443	592	741
444	593	740
445	594	738
446	595	736
447	595	734
448	597	732
449	598	731
450	599	729
451	600	727
452	601	726
453	602	724
454	603	722
455	604	720
456	605	719
457	606	717
458	607	715
459	607	713
460	608	711
461	609	710
462	610	708
463	611	706
464	612	704
465	613	702
466	614	700
467	615	699
468	616	697
469	617	695
470	617	693
471	618	692
472	619	690
473	620	688
474	621	687
475	623	685
476	624	684
477	625	682
478	625	680
479	626	679
480	627	677
481	628	675
482	629	673
483	630	672
484	631	670
485	632	668
486	633	667
487	634	665
488	635	663
489	635	661
490	636	660
491	637	658
492	638	657
493	639	655
494	641	654
495	642	652
496	643	651
497	644	649
498	645	648
499	646	646
500	647	645
501	648	643
502	649	642
503	650	640
504	651	639
505	653	637
506	654	636
507	655	634
508	656	632
509	657	631
510	658	629
511	658	628
512	660	626
513	661	625
514	662	623
515	663	622
